,prob1,prob2,influence,multilinear_influence,absolute_error
210,0.5,0.0,1.8882,1.9078,0.01959999999999984
211,0.5,0.05,2.0986,2.0176299999999996,0.08097000000000021
212,0.5,0.1,2.1264,2.12746,0.001060000000000283
213,0.5,0.15000000000000002,2.2542,2.23729,0.016910000000000203
214,0.5,0.2,2.2978,2.3471200000000003,0.04932000000000025
215,0.5,0.25,2.4806,2.45695,0.02364999999999995
216,0.5,0.30000000000000004,2.5266,2.56678,0.04017999999999988
217,0.5,0.35000000000000003,2.7014,2.6766099999999997,0.024790000000000312
218,0.5,0.4,2.8038,2.7864400000000002,0.017359999999999598
219,0.5,0.45,2.8458,2.8962700000000003,0.05047000000000024
220,0.5,0.5,3.0324,3.0061000000000004,0.026299999999999546
221,0.5,0.55,3.1432,3.11593,0.027270000000000127
222,0.5,0.6000000000000001,3.2148,3.22576,0.010960000000000303
223,0.5,0.65,3.326,3.33559,0.009589999999999765
224,0.5,0.7000000000000001,3.48,3.4454200000000004,0.03457999999999961
225,0.5,0.75,3.551,3.55525,0.004249999999999865
226,0.5,0.8,3.6682,3.6650800000000006,0.0031199999999995676
227,0.5,0.8500000000000001,3.7488,3.77491,0.026110000000000078
228,0.5,0.9,3.755,3.88474,0.12973999999999997
229,0.5,0.9500000000000001,3.9782,3.99457,0.016369999999999774
230,0.5,1.0,4.1676,4.1044,0.06320000000000014
231,0.55,0.0,2.1568,2.09858,0.05821999999999994
232,0.55,0.05,2.2406,2.206296,0.03430400000000011
233,0.55,0.1,2.3226,2.3140120000000004,0.008587999999999596
234,0.55,0.15000000000000002,2.4278,2.4217280000000003,0.006071999999999633
235,0.55,0.2,2.5052,2.529444,0.024243999999999932
236,0.55,0.25,2.6856,2.63716,0.04843999999999982
237,0.55,0.30000000000000004,2.718,2.7448760000000005,0.026876000000000566
238,0.55,0.35000000000000003,2.8626,2.852592,0.010008000000000017
239,0.55,0.4,2.9106,2.960308,0.04970799999999986
240,0.55,0.45,3.0444,3.0680240000000003,0.02362400000000031
241,0.55,0.5,3.2208,3.1757400000000002,0.04505999999999988
242,0.55,0.55,3.2178,3.2834560000000006,0.0656560000000006
243,0.55,0.6000000000000001,3.442,3.3911720000000005,0.05082799999999965
